Board Vector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Move Predictions,-,-,-,-,-,-,Position Rating,Game Result,Game Length,Game Index
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,1,-1,-1,0,0.0231,0.0361,0.0307,0.1949,0.1125,0.5642,0.0385,0.749486,1,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,1,-1,-1,0,0.2469,0.3644,0.0003,0.1045,0.132,0.1512,0.0007,-0.426345,1,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,1,-1,-1,0,0.0677,0.0823,0.0435,0.4016,0.1677,0.1124,0.1248,0.832968,1,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,-1,-1,0,1,-1,-1,0,0.0001,0.0005,0.0004,0.9979,0.0001,0.0004,0.0006,-0.103678,1,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,-1,-1,0,1,-1,-1,0,0.0912,0.181,0.0813,0.1002,0.1749,0.1949,0.1765,0.748692,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,-1,-1,0,1,-1,-1,0,0.2892,0.0614,0.0004,0.2046,0.2214,0.2223,0.0007,-0.221853,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,1,1,0,-1,-1,0,1,-1,-1,0,0.4497,0.1644,0.0663,0.0378,0.1361,0.0582,0.0875,0.771848,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,1,1,0,-1,-1,0,1,-1,-1,0,0.4132,0.0225,0.0001,0.1843,0.208,0.1712,0.0007,-0.442352,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,1,1,0,-1,-1,0,1,-1,-1,0,0.0656,0.3296,0.0749,0.0842,0.1417,0.1719,0.1321,0.866505,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,1,1,0,-1,-1,0,1,-1,-1,1,0.0007,0.0008,0.0003,0.0006,0.0001,0.0007,0.9968,-0.0419342,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0304,0.1904,0.0451,0.0413,0.282,0.2821,0.1287,0.746402,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,0,1,0,-1,0,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0598,0.0601,0.0004,0.0409,0.7993,0.0387,0.0008,-0.040035,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,1,-1,1,0,-1,0,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0429,0.1291,0.0537,0.0379,0.1335,0.4774,0.1255,0.794973,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,1,0,1,0,0,1,-1,1,0,-1,0,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0006,0.0006,0.0004,0.0005,0.0007,0.9966,0.0006,0.131748,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,0,1,0,0,1,-1,1,0,-1,0,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.078,0.3009,0.0694,0.126,0.1156,0.0801,0.23,0.757793,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,0,1,0,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.2997,0.3428,0.0004,0.1002,0.1726,0.0836,0.0007,-0.374562,1,39,1
0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0437,0.5302,0.0798,0.1155,0.079,0.0491,0.1027,0.777367,1,39,1
0,0,0,0,0,1,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.284,0.1386,0.0004,0.3544,0.222,0,0.0006,0.0257336,1,39,1
0,0,0,-1,0,1,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0561,0.7793,0.0794,0,0.0304,0,0.0548,0.771898,1,39,1
0,0,0,-1,0,1,0,0,0,0,1,0,-1,0,-1,1,0,-1,0,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.7021,0.1842,0.0003,0,0.1133,0,0.0001,0.174904,1,39,1
0,0,0,-1,0,1,0,-1,0,0,1,0,-1,0,-1,1,0,-1,0,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0659,0.7011,0.066,0,0.0902,0,0.0768,0.834888,1,39,1
