Board Vector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Move Predictions,-,-,-,-,-,-,Position Rating,Game Result,Game Length,Game Index
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-1,1,-1,0,-1,0.01714,0.05672,0.1946,0.65174,0.01302,0.02932,0.03746,0.410139,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,-1,1,-1,0,-1,0.02266,0.76934,0.01106,0.12152,0.0421,0.0077,0.02562,-0.02557,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,0,-1,0.00884,0.02186,0.92022,0.0209,0.00492,0.0164,0.00686,0.594367,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,0,-1,0.3107,0.28348,0.09844,0.02486,0.15524,0.01608,0.1112,-0.203463,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,0,-1,0.00552,0.04344,0.88874,0.03082,0.0026,0.01498,0.0139,0.610248,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,0,-1,2e-05,8e-05,0.99958,6e-05,0.0001,8e-05,8e-05,0.163577,1,35,1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,0,-1,0.0074,0.92138,0.01656,0.02296,0.0071,0.01504,0.00956,0.622896,1,35,1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,0,-1,0.26314,0.41532,0.0918,0.0093,0.09142,0.0181,0.11092,-0.193788,1,35,1
0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,0,-1,0.02764,0.02054,0.02582,0.03286,0.06054,0.80612,0.02648,0.669523,1,35,1
0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,1,-1,0.0134,0.00798,0.00846,8e-05,0.01078,0.94866,0.01064,0.105791,1,35,1
0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,1,-1,0,0,1,-1,1,-1,1,-1,0.02268,0.01144,0.01078,0.00428,0.04978,0.8643,0.03674,0.678829,1,35,1
0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,1,0,1,1,0,0,-1,1,0,1,-1,0,0,1,-1,1,-1,1,-1,0.30692,0.27452,0.12712,8e-05,0.10644,0.12806,0.05686,-0.0662974,1,35,1
0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,1,0,1,1,0,0,-1,1,0,1,-1,0,-1,1,-1,1,-1,1,-1,0.1234,0.06082,0.0456,0.01174,0.12878,0.4345,0.19516,0.769022,1,35,1
0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,0,-1,1,0,1,-1,0,-1,1,-1,1,-1,1,-1,0.1469,0.14138,0.10198,0.0001,0.23384,0.292,0.0838,0.185425,1,35,1
0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,0,-1,1,0,1,-1,0,-1,1,-1,1,-1,1,-1,0.19992,0.06084,0,0.02484,0.22754,0.22016,0.2667,0.83694,1,35,1
0,1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,0,-1,1,0,1,-1,0,-1,1,-1,1,-1,1,-1,0.21756,0,0,4e-05,0.27692,0.31856,0.18692,0.870907,1,35,1
0,1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,0,-1,1,0,1,-1,0,-1,1,-1,1,-1,1,-1,0.0636,0,0,0.00884,0.78682,0.0455,0.09524,0.883694,1,35,1
0,1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,1,-1,1,0,1,-1,0,-1,1,-1,1,-1,1,-1,0.16284,0,0,4e-05,0.1879,0.25272,0.3965,0.923924,1,35,1
0,1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.0543,0,0,0.02332,0.09116,0.7697,0.06152,0.941671,1,35,1
0,1,-1,0,0,1,0,0,-1,-1,0,0,-1,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.6025,0,0,6e-05,0.3974,0,4e-05,0.959223,1,35,1
0,1,-1,0,0,1,0,0,-1,-1,0,-1,-1,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,0,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.03726,0,0,0.3374,0.58634,0,0.039,0.982304,1,35,1
0,1,-1,0,0,1,0,0,-1,-1,0,-1,-1,0,0,1,1,0,-1,1,0,0,-1,1,0,1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,2e-05,0,0,4e-05,8e-05,0,0.99986,0.983942,1,35,1
0,1,-1,0,0,1,0,0,-1,-1,0,-1,-1,0,0,1,1,0,-1,1,-1,0,-1,1,0,1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.0138,0,0,0.39742,0.13156,0,0.45722,0.980841,1,35,1
0,1,-1,0,0,1,0,0,-1,-1,0,-1,-1,1,0,1,1,0,-1,1,-1,0,-1,1,0,1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.99984,0,0,6e-05,4e-05,0,6e-05,1,1,35,1
0,1,-1,0,0,1,0,0,-1,-1,0,-1,-1,1,0,1,1,0,-1,1,-1,-1,-1,1,0,1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.18122,0,0,0.37266,0.24056,0,0.20556,1,1,35,1
0,1,-1,0,1,1,0,0,-1,-1,0,-1,-1,1,0,1,1,0,-1,1,-1,-1,-1,1,0,1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.99992,0,0,4e-05,0,0,4e-05,1,1,35,1
0,1,-1,0,1,1,0,0,-1,-1,0,-1,-1,1,-1,1,1,0,-1,1,-1,-1,-1,1,0,1,1,1,1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,1,-1,0.30648,0,0,0.36234,0,0,0.33118,1,1,35,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02074,0.0562,0.03338,0.80568,0.0498,0.02148,0.01272,0.19438,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.19896,0.18762,0.10734,0.06172,0.14164,0.10726,0.19546,-0.195034,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0.02462,0.00786,0.17476,0.58188,0.05902,0.0686,0.08326,0.266275,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0.17858,0.62774,0.00462,0.00718,0.09438,0.03276,0.05474,-0.353471,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0.02144,0.02932,0.23646,0.62138,0.02602,0.03922,0.02616,0.518781,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0.37968,0.05266,0.07922,0.04006,0.0837,0.11594,0.24874,-0.4628,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,0.04208,0.03862,0.10496,0.72748,0.01934,0.04114,0.02638,0.72157,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1,-1,-1,1,0,0,0,0.29058,0.25558,0.05414,0.11732,0.00604,0.21084,0.0655,-0.151586,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1,-1,-1,1,0,0,-1,0.29866,0.28016,0.19428,0.15228,0.02174,0.02686,0.02602,0.829827,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,-1,-1,-1,1,0,0,-1,0.2468,0.34262,0.0509,0.12202,0.00418,0.1334,0.10008,-0.326776,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,-1,-1,-1,1,0,-1,-1,0.16272,0.27198,0.29552,0.20182,0.0121,0.03784,0.01802,0.825744,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,-1,-1,-1,1,0,-1,-1,4e-05,0.99978,2e-05,2e-05,2e-05,6e-05,6e-05,0.947813,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,1,0,0,1,-1,-1,-1,1,0,-1,-1,0.01078,0.0726,0.10154,0.79864,0.00536,0.00664,0.00444,0.905284,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-1,1,1,0,0,1,-1,-1,-1,1,0,-1,-1,4e-05,8e-05,0.0001,0.9996,8e-05,8e-05,2e-05,0.923902,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,1,-1,1,1,0,0,1,-1,-1,-1,1,0,-1,-1,0.01636,0.9354,0.0276,0.0034,0.00458,0.00894,0.00372,0.943092,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,0,0,0,1,-1,1,1,0,0,1,-1,-1,-1,1,0,-1,-1,2e-05,0.9998,4e-05,4e-05,2e-05,4e-05,4e-05,1,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,1,1,0,0,0,1,-1,1,1,0,0,1,-1,-1,-1,1,0,-1,-1,0.77458,0.01836,0.12128,0.02326,0.01694,0.0243,0.02128,1,1,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01254,0.03912,0.03564,0.81582,0.055,0.0251,0.01678,0.215508,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1661,0.1128,0.0903,0.0129,0.06008,0.30964,0.24818,-0.019597,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0.00898,0.03408,0.01738,0.82788,0.07486,0.02366,0.01316,0.104305,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0.20294,0.45904,0.01988,0.01718,0.14262,0.05198,0.10636,-0.141234,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,1,0.02572,0.029,0.11176,0.6758,0.0248,0.08164,0.05128,0.297384,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,1,0,0,1,0.30174,0.38802,0.03616,0.01122,0.09036,0.09104,0.08146,-0.265759,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,0,0,1,0.01062,0.03174,0.05758,0.79424,0.03874,0.05162,0.01546,0.595835,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,0,0,1,0.04384,0.15988,0.02074,0.01838,0.52784,0.21214,0.01718,-0.219711,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,-1,0,1,0.02188,0.35976,0.13116,0.20714,0.2169,0.03246,0.0307,0.620914,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,-1,-1,1,-1,0,1,4e-05,0.0001,0.00012,0.0001,0.99944,0.0001,0.0001,-0.012559,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,-1,0,-1,-1,1,-1,0,1,0.07902,0.02462,0.0745,0.11186,0.68268,0.01164,0.01568,0.603586,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,0,-1,0,-1,-1,1,-1,0,1,2e-05,0.13126,0.22028,0.05942,0.14066,0.26488,0.18348,-0.265433,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,0,-1,0,-1,-1,1,-1,-1,1,0.04576,0.02554,0.5876,0.29122,0.01998,0.01938,0.01052,0.820545,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,1,-1,0,-1,-1,1,-1,-1,1,2e-05,0.06546,0.50954,8e-05,0.02238,0.385,0.01752,-0.0437179,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,1,1,-1,1,-1,0,-1,-1,1,-1,-1,1,0.03736,0.02734,0.5578,0.13768,0.10642,0.07288,0.06052,0.757275,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.99976,4e-05,4e-05,4e-05,6e-05,4e-05,2e-05,0.11686,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.01046,0.86622,0.02992,0.04836,0.01092,0.01348,0.02064,0.629979,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,4e-05,0.13362,0.029,8e-05,0.0578,0.2823,0.49716,0.0700217,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.0074,0.0458,0.86878,0.01438,0.01364,0.01266,0.03734,0.750786,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,4e-05,0.57412,0.15828,0.0001,0.11092,0.11584,0.0407,-0.0115795,1,37,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.00016,0.00014,0.00014,0.00014,0.00014,0.00014,0.99914,0.767088,1,37,3
